Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0805,2,2.2 uF,C513763
"C10, C13, C18, C19, C22, C24, C30, C33, C35, C9",0805,10,100 nF,C49678
"C11, C17, C21, C25, C26, C27",0805,6,1µF,C28323
"C12, C31, C32, C34, C36",0805,5,1 µF,C28323
"C14, C15",0805,2,220nF,C354366
C16,B32776E4406J000,1,B32776E4406J000,
"C2, C4",0805,2,220 nF,C354366
C20,0805,1,4.7 µF,C49678
"C23, C7, C8",EEE1AA101SP,3,100uF,C128464
"C28, C29",0805,2,1 uF,C28323
"C3, C5",0805,2,22 nF,C2181592
"D1, D2, D3, D5",FSV2060L,4,FSV2060L,C110669
"D10, D11, D6, D7, D8, D9",DIOM5336X265N,6,S210,C184977
D12,HPZRC26X,1,HPZR-C26X,
D4,SOT-143,1,SP0503BAHT,C7074
FL1,PHBC24N2R0A0219V,1,PHBC24N-2R0A0219V,
"IC1, IC3",SOIC127P1150X280-8N,2,AMC1306M25DWVR,C471874
IC2,L7812ABD2TTR,1,L7812ABD2T-TR,C186698
"J1, J12, J14, J15, J2, J3, J4, J5, J7, J9",TSW-102-XX-YY-S,10,TSW-102-15-T-S,
J13,17345101,1,1734510-1,C720612
"LED1, LED4",0805,2,TLMG1100-GS15-1,C434436
LED2,0805,1,TLMG1100-GS15-2,C434436
LED3,0805,1,TLMG1100-GS15-3,C434436
PS1,NXJ1S0303MCR13,1,NXJ1S0303MC-R13,C6943307
"Q1, Q2, Q3, Q4",TO254P483X1016X1994-3P,4,IRLB4030PBF,C2663
"Q10, Q5, Q6, Q9",IPD90N10S4L06ATMA1,4,IPD90N10S4L06ATMA1,
"Q7, Q8",SOT-23_Handsoldering,2,BC817,C475629
"R1, R10",0805,2,2.2,C25301
"R11, R27",0805,2,100,C115423
R12,0805,1,1,C4129769
"R13, R18",0805,2,12k,C139925
R14,0805,1,5k,C2828700
"R15, R42",2512,2,GMR100HTBFER015,C2985715
R16,0805,1,120k,C473315
"R17, R28",0805,2,1k,C95781
"R19, R20, R23, R24",0805,4,0,C2074219
"R2, R3, R8, R9",0805,4,10,C3016584
R29,0805,1,330,C4129769
"R30, R31, R4, R40, R41, R5, R6, R7",0805,8,10k,C84376
S1,B3U-1000P,1,B3U-1000P,C231329
"TP1, TP2, TP3, TP4",5754,4,575-4,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,C701343
"U2, U3",SOIC-16W_7.5x10.3mm_P1.27mm,2,IR2110S,C2968 
U4,VSSOP-10_3x3mm_P0.5mm,1,INA228,C2862904
U5,SOT-223-3_TabPin2,1,LT1963AxST-3.3,C459918
U6,TO-252-2,1,LD1086DT50TR,C164853
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
