Designator,Mid X,Mid Y,Rotation,Layer
C1,96.0,-122.0,270.0,top
C10,83.0,-147.0,270.0,top
C11,97.75,-147.0,90.0,top
C12,81.0,-147.0,270.0,top
C13,91.8,-52.4,90.0,top
C14,82.0,-112.0,270.0,top
C15,88.25,-130.0,0.0,top
C16,126.5,-110.25,0.0,top
C17,63.5,-103.25,270.0,top
C18,74.0,-82.0,90.0,top
C19,153.2,-139.6,180.0,top
C2,89.0,-97.0,0.0,top
C20,91.25,-146.4,90.0,top
C21,63.5,-79.25,180.0,top
C22,144.2,-146.8,180.0,top
C23,56.75,-118.75,0.0,top
C24,97.75,-143.2,270.0,top
C25,82.0,-92.0,270.0,top
C26,80.5,-104.5,90.0,top
C27,58.5,-124.0,0.0,top
C28,94.0,-52.4,90.0,top
C29,107.85,-52.8,90.0,top
C3,89.0,-99.0,0.0,top
C30,110.0,-52.8,90.0,top
C31,153.2,-137.6,180.0,top
C32,144.2,-144.8,180.0,top
C33,152.2,-130.8,270.0,top
C34,154.6,-130.8,270.0,top
C35,143.8,-128.2,270.0,top
C36,141.8,-128.2,270.0,top
C4,101.0,-116.0,0.0,top
C5,101.0,-118.0,0.0,top
C6,96.0,-108.0,270.0,top
C7,75.25,-99.75,90.0,top
C8,75.25,-89.75,270.0,top
C9,91.25,-142.6,90.0,top
D1,101.0,-62.0,270.0,top
D10,99.9,-76.75,0.0,top
D11,100.0,-123.0,270.0,top
D12,83.6,-55.25,180.0,top
D2,99.985,-84.93,270.0,top
D3,116.985,-61.93,270.0,top
D4,106.8,-137.0,90.0,top
D5,116.0,-82.75,270.0,top
D6,84.0,-98.0,90.0,top
D7,102.15,-91.75,0.0,top
D8,84.0,-74.0,0.0,top
D9,84.15,-85.0,0.0,top
FL1,137.25,-68.25,180.0,top
IC1,147.765,-136.875,270.0,top
IC2,67.375,-91.0,90.0,top
IC3,140.895,-136.875,270.0,top
J1,54.44,-137.0,270.0,top
J12,118.93,-130.0,180.0,top
J13,114.85,-144.9325,270.0,top
J14,112.27,-136.75,180.0,top
J15,53.31,-127.25,90.0,top
J2,68.98,-124.75,0.0,top
J3,76.5,-125.19,180.0,top
J4,59.13,-108.4,180.0,top
J5,111.2,-129.61,0.0,top
J7,153.5,-98.94,180.0,top
J9,101.25,-106.98,90.0,top
LED1,68.75,-112.0,90.0,top
LED2,72.75,-112.0,90.0,top
LED3,70.75,-112.0,90.0,top
LED4,66.75,-112.0,90.0,top
PS1,130.5,-139.39,90.0,top
Q1,94.0,-71.81,0.0,top
Q2,93.0,-94.0,0.0,top
Q3,111.0,-71.81,0.0,top
Q4,111.46,-92.56,0.0,top
Q7,84.0,-139.5,0.0,top
Q8,83.1,-143.0,0.0,top
R1,80.75,-97.0,270.0,top
R10,96.0,-125.8,90.0,top
R11,66.75,-116.0,90.0,top
R12,78.25,-55.25,180.0,top
R13,85.0,-146.6,270.0,top
R14,58.0,-132.0,270.0,top
R15,134.2,-127.4,0.0,top
R16,150.4,-127.8,180.0,top
R17,146.6,-127.8,180.0,top
R18,70.2,-82.8,180.0,top
R19,65.6,-105.0,90.0,top
R2,86.0,-70.0,180.0,top
R20,67.8,-105.0,270.0,top
R23,92.4,-137.8,180.0,top
R24,92.4,-139.8,180.0,top
R27,68.75,-116.0,90.0,top
R28,72.75,-116.0,90.0,top
R29,70.75,-116.0,90.0,top
R3,85.0,-89.0,180.0,top
R30,87.8,-143.6,0.0,top
R31,87.8,-145.5,180.0,top
R4,90.0,-75.0,0.0,top
R40,58.5,-126.0,0.0,top
R41,58.5,-128.0,0.0,top
R42,72.0,-73.0,0.0,top
R5,85.0,-93.0,180.0,top
R6,119.0,-93.0,90.0,top
R7,110.0,-75.0,0.0,top
R8,101.5,-73.25,180.0,top
R9,100.5,-95.0,180.0,top
S1,77.0,-115.6,90.0,top
U1,70.0575,-139.84,180.0,top
U2,89.0,-108.0,180.0,top
U3,89.0,-123.0,180.0,top
U4,69.0,-80.0,0.0,top
U5,104.0,-145.2,180.0,top
U6,56.0,-102.0,180.0,top
U7,100.925,-136.0,90.0,top
